Phone Number,Age,Income,Location,Policy Preference,Steps,Heart Rate,Sleep Hours,Activity Level,CIBIL Score,Savings,Browsing History,Policy Purchased,Life Stage,Financial Goal,Risk Appetite,Policy Tenure,Premium Amount
9382784838,32,407173,Mumbai,Term Insurance,10500,64,5.3,Medium,764,54591.02150628205,Health Blogs,Term Insurance,Middle-Aged,Wealth Creation,Low,26,49204
2583398105,60,865488,Mirzapur,Term Insurance,8161,89,8.4,High,436,160604.70950069488,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
4366927550,64,1453953,Hosur,Term Insurance,3752,78,8.7,Low,604,194350.9418601636,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
9484548043,60,1159153,Rajpur Sonarpur,Term Insurance,4137,62,8.2,Medium,766,283215.36180776986,Health Blogs,ULIP,Retiree,Wealth Creation,High,29,9793
912828086309,51,1909197,Kottayam,Term Insurance,10181,87,9.7,High,410,365444.6008037335,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Medium,8,44193
913593056575,49,1170419,Kharagpur,Term Insurance,4388,92,5.6,Medium,677,124683.63778199596,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,20,31969
676991969,68,1100705,Bhavnagar,Term Insurance,9924,70,6.4,High,300,237936.64103556945,Health Blogs,Pension Plan,Retiree,Wealth Creation,Medium,28,7570
5512729297,39,649539,Katni,Term Insurance,11663,81,8.3,Low,639,169268.01952875903,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,Medium,15,32411
919203057320,67,586223,Vijayanagaram,Term Insurance,7810,87,4.9,High,826,92745.66937481269,Health Blogs,ULIP,Retiree,Wealth Creation,Low,3,15435
7868830815,40,1394372,Gurgaon,Term Insurance,12278,70,6.9,Low,619,194047.7361381788,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
918435645904,25,1845547,Anantapuram,ULIP,4372,73,6.0,Medium,337,543984.5532595594,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,7,10169
912393075011,54,1688167,Bellary,Term Insurance,10585,64,7.2,Medium,491,452876.6767306186,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
915477513578,30,1928521,Nagercoil,Term Insurance,8998,102,7.2,Low,341,514653.6006616202,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
7887668916,54,712636,Sri Ganganagar,Term Insurance,11566,97,8.0,Medium,305,163694.4198916348,Fitness Tips,ULIP,Retiree,Wealth Creation,Medium,20,19395
914741427210,27,1313217,Siliguri,ULIP,13406,80,6.7,Medium,392,156588.26501522493,Health Blogs,Pension Plan,Young Professional,Wealth Creation,Medium,24,36928
5563901881,26,696432,Pondicherry,ULIP,14260,72,5.2,Medium,472,159217.36494937,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,15,30821
917865881016,48,1972366,Jalna,Term Insurance,14764,90,10.2,Medium,692,502866.40471293125,Health Blogs,Term Insurance,Middle-Aged,Wealth Creation,Medium,7,46550
918538662703,36,1588587,Morena,Term Insurance,11940,78,10.3,Medium,660,371747.9298339713,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,20,32299
913110008041,65,1659662,Asansol,Term Insurance,7182,80,8.6,Low,767,324364.22145067743,Fitness Tips,Term Insurance,Retiree,Wealth Creation,High,8,27098
5843290501,35,1307679,Rampur,Term Insurance,2980,73,7.0,High,452,292040.39777113165,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
913320364490,58,1560274,Bharatpur,Term Insurance,2726,60,7.4,High,629,424720.9773562619,Fitness Tips,None,Retiree,Wealth Creation,Medium,0,0
6219337121,50,1104203,Malegaon,Term Insurance,10055,69,7.4,High,465,276112.3708313166,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
4351950140,38,1315913,Lucknow,Term Insurance,8656,109,8.6,Low,428,291374.24423525296,Health Blogs,Term Insurance,Middle-Aged,Wealth Creation,Medium,25,11594
2458019286,28,1290997,Loni,ULIP,9421,81,7.7,Medium,526,173726.59939839592,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,8,29163
918142952456,35,1186338,Gorakhpur,Term Insurance,11124,108,7.0,Low,662,283004.5333782475,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,Medium,7,30181
8985318640,56,1386940,Bilaspur,Term Insurance,13439,94,4.4,Low,401,338258.13201104075,Fitness Tips,Pension Plan,Retiree,Wealth Creation,Medium,12,35402
919893079234,25,1509807,Udaipur,ULIP,14631,77,8.2,High,675,161064.93824838146,Health Blogs,Term Insurance,Young Professional,Wealth Creation,Medium,1,25701
915344053881,48,1944554,Bhiwandi,Term Insurance,2191,93,7.1,Medium,724,527510.8319891852,Health Blogs,ULIP,Middle-Aged,Wealth Creation,Medium,17,37225
5510709148,21,427641,Jalandhar,ULIP,2879,88,6.9,High,791,106997.78820698198,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,29,28712
918275835624,24,834078,Jalgaon,ULIP,2848,99,6.7,Medium,479,100059.27985503306,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,Medium,2,6396
917978472927,25,1807134,Tirupati,ULIP,2343,88,7.5,High,733,232303.1376517904,Health Blogs,Pension Plan,Young Professional,Wealth Creation,Medium,19,17557
7155255682,33,1982664,Jaipur,Term Insurance,4340,102,8.0,Low,743,296400.0472033873,Health Blogs,Term Insurance,Middle-Aged,Wealth Creation,Medium,8,19938
7631001391,48,1795691,Chandrapur,Term Insurance,5368,97,7.4,Medium,598,471838.2785599104,Fitness Tips,None,Middle-Aged,Wealth Creation,Medium,0,0
9269940215,62,1687615,Orai,Term Insurance,3373,65,6.7,High,345,187857.66970123688,Fitness Tips,Pension Plan,Retiree,Wealth Creation,Medium,17,25205
4955945310,36,1356236,Raurkela Industrial Township,Term Insurance,12286,109,8.2,Low,776,377996.1978165821,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,High,21,13580
917264759105,30,1736287,Vijayawada,Term Insurance,3007,106,7.2,Low,368,295886.5533901579,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,15,27509
7863711430,18,1967235,Gudivada,ULIP,3935,75,9.1,Medium,817,297659.9490556005,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,High,6,14375
2865889241,29,1094247,Ghaziabad,ULIP,7981,85,8.0,High,675,170007.07056205053,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,22,36469
919838993845,27,1736854,Hindupur,ULIP,8406,60,7.5,High,459,363697.917395888,Health Blogs,None,Young Professional,Wealth Creation,Medium,0,0
4939572981,67,1965918,Indore,Term Insurance,14577,89,4.0,High,497,248851.8341688401,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
6975659871,23,1097114,Deoghar,ULIP,7018,54,10.3,High,785,312986.9242397036,Retirement Planning,ULIP,Young Professional,Wealth Creation,High,6,38707
8932705818,27,1594812,Nagpur,ULIP,10282,96,5.6,Medium,600,201709.8536287576,Health Blogs,ULIP,Young Professional,Wealth Creation,Medium,1,43661
5940616499,20,1291777,Ratlam,ULIP,6579,86,6.2,Medium,893,370972.9022168423,Health Blogs,Term Insurance,Young Professional,Wealth Creation,High,9,20680
9507212784,26,1235122,Thanjavur,ULIP,3824,89,6.5,High,422,368534.1486056168,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,Medium,8,19109
910163512776,68,1052473,Navi Mumbai,Term Insurance,8512,81,3.3,High,697,270364.0427849935,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
913219874017,40,510082,Ajmer,Term Insurance,13328,68,7.3,Medium,742,133554.83211769932,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,18,10511
6946014462,21,867886,Nadiad,ULIP,13299,94,6.6,Medium,544,153392.94437524417,Retirement Planning,None,Young Professional,Wealth Creation,Medium,0,0
9519815765,37,367556,Jehanabad,Term Insurance,13087,88,7.3,Medium,810,52371.58420157861,Retirement Planning,Pension Plan,Middle-Aged,Wealth Creation,Low,27,41163
911472051673,55,524486,Guna,Term Insurance,5594,101,5.3,Low,572,130534.05806489538,Retirement Planning,Pension Plan,Retiree,Wealth Creation,Medium,29,11365
917589669683,36,945998,Mau,Term Insurance,11947,97,7.2,Medium,834,228224.59456445236,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,High,6,18027
4258298864,33,527387,Nandyal,Term Insurance,13478,63,6.7,High,497,134670.81663595428,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,8,9785
3032501703,49,1156939,Muzaffarpur,Term Insurance,3004,88,7.8,High,469,217157.14919857244,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,1,27425
9780938857,40,839393,Tiruppur,Term Insurance,9554,76,4.6,High,743,182475.2636076462,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
912357230575,54,738022,Rohtak,Term Insurance,5658,108,8.7,Low,570,161795.10000352116,Retirement Planning,Term Insurance,Retiree,Wealth Creation,Medium,13,31914
1641369838,57,543782,Baranagar,Term Insurance,3298,100,5.2,Low,394,67159.04687671963,Fitness Tips,None,Retiree,Wealth Creation,Low,0,0
8463761334,55,952537,Guntur,Term Insurance,5227,96,8.5,Low,430,201852.7213622756,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Medium,1,38928
1093649436,34,828225,Mangalore,Term Insurance,2623,86,6.5,Medium,766,89220.47087392517,Health Blogs,ULIP,Middle-Aged,Wealth Creation,Low,25,30708
915514692151,64,1890655,Kharagpur,Term Insurance,14391,107,5.9,Low,467,478813.9396538835,Fitness Tips,Pension Plan,Retiree,Wealth Creation,Medium,8,19053
8272174897,19,1934808,Bongaigaon,ULIP,3005,76,10.8,Medium,641,523961.8673094816,Fitness Tips,Term Insurance,Young Professional,Wealth Creation,Medium,10,18713
6054300366,56,630073,Danapur,Term Insurance,7650,96,6.7,Low,896,181729.79960501115,Retirement Planning,Pension Plan,Retiree,Wealth Creation,Medium,15,14351
913323998681,25,1445916,Bijapur,ULIP,9410,56,7.0,High,802,310929.13337645715,Health Blogs,None,Young Professional,Wealth Creation,High,0,0
2221551179,43,1396389,Faridabad,Term Insurance,9376,107,8.0,Low,734,187538.75572551944,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,Medium,14,41764
888703906,60,1337713,Madurai,Term Insurance,4142,65,7.3,High,846,169499.06191249282,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
910477153000,41,929578,Hazaribagh,Term Insurance,13952,84,6.9,Medium,435,220650.19794392408,Retirement Planning,ULIP,Middle-Aged,Wealth Creation,Medium,29,9313
7883535661,53,373467,Deoghar,Term Insurance,9071,68,8.5,Medium,379,76243.05942761208,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Low,26,48642
2939306812,20,1879833,Raipur,ULIP,13130,65,4.1,Medium,399,491948.4753583568,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Medium,19,37969
913327423268,68,1533930,Udupi,Term Insurance,5494,72,7.7,Medium,514,218642.02207375804,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
1722953954,64,718069,Malda,Term Insurance,13533,70,3.9,High,324,120866.0066503874,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
915729760678,66,723865,Malda,Term Insurance,10538,100,7.2,Low,832,211791.3731668454,Retirement Planning,None,Retiree,Wealth Creation,High,0,0
914451490482,26,532656,Amravati,ULIP,10261,56,1.7,High,359,112079.79431691884,Health Blogs,Term Insurance,Young Professional,Wealth Creation,Medium,3,14075
910229180071,41,1918321,Purnia,Term Insurance,2220,94,6.7,Low,507,313846.38212448487,Health Blogs,Pension Plan,Middle-Aged,Wealth Creation,Medium,10,28404
910372247144,51,1847105,Akola,Term Insurance,5510,75,5.7,Low,878,263572.2184613676,Health Blogs,None,Retiree,Wealth Creation,High,0,0
1737569527,42,495868,Gandhidham,Term Insurance,10298,89,7.3,Low,587,99454.08461652733,Health Blogs,Pension Plan,Middle-Aged,Wealth Creation,Low,29,41825
910206487333,68,1465283,Junagadh,Term Insurance,7874,84,6.4,Low,301,207462.7063849545,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
3402572909,32,1791266,Sultan Pur Majra,Term Insurance,2074,75,5.8,Medium,635,398914.51622890495,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
6951082141,47,1889710,Guwahati,Term Insurance,11152,71,9.1,Low,626,266962.34226051776,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,Medium,4,23069
914958204096,40,1359494,Sonipat,Term Insurance,13894,70,8.9,Medium,692,185383.33760103805,Health Blogs,Pension Plan,Middle-Aged,Wealth Creation,Medium,6,8998
4472914363,49,1919191,Farrukhabad,Term Insurance,4483,100,6.3,Low,724,498337.47887872194,Retirement Planning,Pension Plan,Middle-Aged,Wealth Creation,Medium,3,47561
914308478691,22,340440,Cuttack,ULIP,4281,79,7.0,Low,683,43486.360376573066,Fitness Tips,None,Young Professional,Wealth Creation,Low,0,0
4186117724,29,929945,Aizawl,ULIP,5251,66,8.8,Medium,416,101746.9321084177,Health Blogs,Term Insurance,Young Professional,Wealth Creation,Medium,26,45206
